"L3_AF_DMSO_B_10_FITC","L3_AF_DMSO_B_10_APC","L3_AF_100_ETP_11_FITC","L3_AF_100_ETP_11_APC","L3_AF_100_ETP_12_FITC","L3_AF_100_ETP_12_APC","L3_AF_Med_C_13_FITC","L3_AF_Med_C_13_APC","L3_AF_Med_C_14_FITC","L3_AF_Med_C_14_APC","L3_AF_DMSo_C_15_FITC","L3_AF_DMSo_C_15_APC","L3_AF_DMSO_C_16_FITC","L3_AF_DMSO_C_16_APC","L3_AF_100_ETP_17_FITC","L3_AF_100_ETP_17_APC","L3_AF_100_ETP_18_FITC","L3_AF_100_ETP_18_APC","L3_AF_Med_D_19_FITC","L3_AF_Med_D_19_APC","L3_AF_Med_A_1_FITC","L3_AF_Med_A_1_APC","L3_AF_Med_D_20_FITC","L3_AF_Med_D_20_APC","L3_AF_DMSo_D_21_FITC","L3_AF_DMSo_D_21_APC","L3_AF_DMSO_D_22_FITC","L3_AF_DMSO_D_22_APC","L3_AF_100_ETP_23_FITC","L3_AF_100_ETP_23_APC","L3_AF_100_ETP_24_FITC","L3_AF_100_ETP_24_APC","L3_AF_MedA_2_FITC","L3_AF_MedA_2_APC","L3_AF_DMSO_A_3_FITC","L3_AF_DMSO_A_3_APC","L3_AF_DMSO_A_4_FITC","L3_AF_DMSO_A_4_APC","L3_AF_100_ETP_5_FITC","L3_AF_100_ETP_5_APC","L3_AF_100_ETP_6_FITC","L3_AF_100_ETP_6_APC","L3_AF_Med_B_7_FITC","L3_AF_Med_B_7_APC","L3_AF_Med_B_8_FITC","L3_AF_Med_B_8_APC","L3_AF_DMSO_B_9_FITC","L3_AF_DMSO_B_9_APC","L3_BF_Med_1_FITC","L3_BF_Med_1_APC","L3_BF_Med_2_FITC","L3_BF_Med_2_APC","L3_BF_DMSO_3_FITC","L3_BF_DMSO_3_APC","L3_BF_DMSO_4_FITC","L3_BF_DMSO_4_APC","L3_BF_100uM_ETP_5_FITC","L3_BF_100uM_ETP_5_APC","L3_BF_100uM_ETP_6_FITC","L3_BF_100uM_ETP_6_APC","L5_AF_DMSO_B_10_FITC","L5_AF_DMSO_B_10_APC","L5_AF_100_ETp_11_FITC","L5_AF_100_ETp_11_APC","L5_AF_100_ETP_12_FITC","L5_AF_100_ETP_12_APC","L5_AF_MEd_C_13_FITC","L5_AF_MEd_C_13_APC","L5_AF_Med_C_14_FITC","L5_AF_Med_C_14_APC","L5_AF_DMSO_C_15_FITC","L5_AF_DMSO_C_15_APC","L5_AF_DMSO_C_16_FITC","L5_AF_DMSO_C_16_APC","L5_AF_100_ETP_17_FITC","L5_AF_100_ETP_17_APC","L5_AF_100_ETP_18_FITC","L5_AF_100_ETP_18_APC","L5_AF_Med_D_19_FITC","L5_AF_Med_D_19_APC","L5_AF_Med_A_1_FITC","L5_AF_Med_A_1_APC","L5_AF_Med_D_20_FITC","L5_AF_Med_D_20_APC","L5_AF_DMSO_D_21_FITC","L5_AF_DMSO_D_21_APC","L5_AF_DMSO_D_22_FITC","L5_AF_DMSO_D_22_APC","L5_AF_100_ETP_23_FITC","L5_AF_100_ETP_23_APC","L5_AF_100_ETP_24_FITC","L5_AF_100_ETP_24_APC","L5_AF_Med_A_2_FITC","L5_AF_Med_A_2_APC","L5_AF_DMSO_A_3_FITC","L5_AF_DMSO_A_3_APC","L5_AF_DMSO_A_4_FITC","L5_AF_DMSO_A_4_APC","L5_AF_100_ETP_5_FITC","L5_AF_100_ETP_5_APC","L5_AF_100_ETP_6_FITC","L5_AF_100_ETP_6_APC","L5_AF_Med_B_7_FITC","L5_AF_Med_B_7_APC","L5_AF_Med_B_8_FITC","L5_AF_Med_B_8_APC","L5_AF_DMSO_B_9_FITC","L5_AF_DMSO_B_9_APC","L5_BF_Med_1_FITC","L5_BF_Med_1_APC","L5_BF_Med_2_FITC","L5_BF_Med_2_APC","L5_BF_DMSO_3_FITC","L5_BF_DMSO_3_APC","L5_BF_DMSO_4_FITC","L5_BF_DMSO_4_APC","L5_BF_100_ETP_5_FITC","L5_BF_100_ETP_5_APC","L5_BF_100_ETP_6_FITC","L5_BF_100_ETP_6_APC","L6_AF_DMSO_B_10_FITC","L6_AF_DMSO_B_10_APC","L6_AF_100_ETP_11_FITC","L6_AF_100_ETP_11_APC","L6_AF_100_ETP_12_FITC","L6_AF_100_ETP_12_APC","L6_AF_Med_C_13_FITC","L6_AF_Med_C_13_APC","L6_AF_Med_C_14_FITC","L6_AF_Med_C_14_APC","L6_AF_DMSO_C_15_FITC","L6_AF_DMSO_C_15_APC","L6_AF_DMSO_C_16_FITC","L6_AF_DMSO_C_16_APC","L6_AF_100_ETP_17_FITC","L6_AF_100_ETP_17_APC","L6_AF_100_ETP_18_FITC","L6_AF_100_ETP_18_APC","L6_AF_Med_D_19_FITC","L6_AF_Med_D_19_APC","L6_AF_MEd_A_1_FITC","L6_AF_MEd_A_1_APC","L6_AF_Med_D_20_FITC","L6_AF_Med_D_20_APC","L6_AF_DMSO_D_21_FITC","L6_AF_DMSO_D_21_APC","L6_AF_DMSO_D_22_FITC","L6_AF_DMSO_D_22_APC","L6_AF_100_ETP_23_FITC","L6_AF_100_ETP_23_APC","L6_AF_100_ETP_24_FITC","L6_AF_100_ETP_24_APC","L6_AF_Med_A_2_FITC","L6_AF_Med_A_2_APC","L6_AF_DMSO_A_3_FITC","L6_AF_DMSO_A_3_APC","L6_AF_DMSO_A_4_FITC","L6_AF_DMSO_A_4_APC","L6_AF_100_ETP_5_FITC","L6_AF_100_ETP_5_APC","L6_AF_100_ETP_6_FITC","L6_AF_100_ETP_6_APC","L6_AF_MEd_B_7_FITC","L6_AF_MEd_B_7_APC","L6_AF_Med_B_8_FITC","L6_AF_Med_B_8_APC","L6_AF_DMSO_B_9_FITC","L6_AF_DMSO_B_9_APC","L6_BF_Med_1_FITC","L6_BF_Med_1_APC","L6_BF_Med_2_FITC","L6_BF_Med_2_APC","L6_BF_DMSO_3_FITC","L6_BF_DMSO_3_APC","L6_BF_DMSO_4_FITC","L6_BF_DMSO_4_APC","L6_BF_100_ETP_5_FITC","L6_BF_100_ETP_5_APC","L6_BF_100_ETP_6_FITC","L6_BF_100_ETP_6_APC","L7_AF_DMSO_B_10_FITC","L7_AF_DMSO_B_10_APC","L7_AF_100_ETP_11_FITC","L7_AF_100_ETP_11_APC","L7_AF_100_ETP_12_FITC","L7_AF_100_ETP_12_APC","L7_AF_Med_C_13_FITC","L7_AF_Med_C_13_APC","L7_AF_Med_C_14_FITC","L7_AF_Med_C_14_APC","L7_AF_DMSo_C_15_FITC","L7_AF_DMSo_C_15_APC","L7_AF_DMSO_C_16_FITC","L7_AF_DMSO_C_16_APC","L7_AF_100_ETP_17_FITC","L7_AF_100_ETP_17_APC","L7_AF_100_ETP_18_FITC","L7_AF_100_ETP_18_APC","L7_AF_Med_D_19_FITC","L7_AF_Med_D_19_APC","L7_AF_Med_A_1_FITC","L7_AF_Med_A_1_APC","L7_AF_Med_D_20_FITC","L7_AF_Med_D_20_APC","L7_AF_DMSO_D_21_FITC","L7_AF_DMSO_D_21_APC","L7_AF_DMSO_D_22_FITC","L7_AF_DMSO_D_22_APC","L7_AF_100_ETp_23_FITC","L7_AF_100_ETp_23_APC","L7_AF_100_ETP_24_FITC","L7_AF_100_ETP_24_APC","L7_AF_Med_A_2_FITC","L7_AF_Med_A_2_APC","L7_AF_DMSO_A_3_FITC","L7_AF_DMSO_A_3_APC","L7_AF_DMSO_A_4_FITC","L7_AF_DMSO_A_4_APC","L7_AF_100_ETP_5_FITC","L7_AF_100_ETP_5_APC","L7_AF_100_ETP_6_FITC","L7_AF_100_ETP_6_APC","L7_AF_MEd_B_7_FITC","L7_AF_MEd_B_7_APC","L7_AF_MEd_B_8_FITC","L7_AF_MEd_B_8_APC","L7_AF_DMSO_B_9_FITC","L7_AF_DMSO_B_9_APC","L7_BF_MEd_1_FITC","L7_BF_MEd_1_APC","L7_BF_Med_2_FITC","L7_BF_Med_2_APC","L7_BF_DMSO_3_FITC","L7_BF_DMSO_3_APC","L7_BF_DMSO_4_FITC","L7_BF_DMSO_4_APC","L7_BF_100_ETP_5_FITC","L7_BF_100_ETP_5_APC","L7_BF_100_ETP_6_FITC","L7_BF_100_ETP_6_APC"
"0","0","9","0","2","0","0","0","0","0","0","0","0","0","2","0","3","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","8","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","1","0","4","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0","8","0","0","0","0","0","0","0","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","2","0"
"0","0","0","0","0","1","0","0","0","0","0","0","0","0","13","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","9","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","4","0","6","0","0","0","0","0","0","0","44","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","6","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","8","0"
"0","0","4","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","1","0","0","0","1","0","0","0","0","0","0","0","0","11","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","3","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","4","0","0","0","7","0","11","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"7","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","19","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","15","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","4","0"
"0","0","6","0","0","0","0","0","0","0","0","0","0","0","4","0","10","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","10","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","7","0","0","0","0","0","0","0","0","0","4","0","8","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","1","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","15","2"
"0","0","0","2","0","2","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","1","7","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","14","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","3","0","0","0","0","0","0","0","0","0",NA,NA,"0","0","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","7","0","0","0","6","0","0","0","0","0","0","0","0","1","0","0","5","0","4","0","0","0","0","0","0","0","0","0",NA,NA,"2","0","0","0","0","0","0","0","0","0","9","0","10","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","7","0"
"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","5","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","6","0","0","0","0","0","3","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","5","0","3","0"
"0","0","0","0","3","0","0","0","0","0","0","0","0","0","21","2","8","0","0","0","0","0","0","0","0","0","0","0","8","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","18","0","7","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0","8","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","5","1"
"0","1","0","1","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","21","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","17","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","0","9","0","0","0","0","0","0","0","0","0","37","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0",NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","20","0","8","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","4","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","6","0","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0",NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","7","0","11","1"
"0","0","38","0","0","3","0","0","0","0","0","0","0","0","8","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","2","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","2","0","3","0","0","0","0","0","0","0","8","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","15","0","0","0","0","0",NA,NA,"0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0",NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","10","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","3","0","0","0","0","0","0","0","0","0","0","0","15","0","29","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","3","0","0","0","0","0",NA,NA,"0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0",NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","18","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","15","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","5","0","7","0","0","0","0","0","0","0","13","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","7","0","10","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","3","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","11","0","0","0","0","0",NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","6","0","10","0"
"0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","8","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1","0","0","0","0","6","0","0","0","0","0",NA,NA,"0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","12","0",NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","2","0","9","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","15","0","0","0","0","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","8","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","8","0","0","0","0","0","0","0","5","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","3","0","5","0","0","0",NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"0","0","4","0","0","0","0","0","0","0","0","0","2","0",NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","12","0","0","0","0","0","0","0","0","0","0","0","8","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","0","5","0","8","0","7","0","0","0","0","0","0","0","4","0","11","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","6","0","0","0","0","0",NA,NA,"0","0","0","0","0","0","21","0","0","0","0","0","0","0",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","9","0",NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","21","4","10","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","6","0","12","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0","12","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","6","2","0","0","0","0","4","0","0","0",NA,NA,"0","0","0","0","12","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
